Key,app_af,app_am,app_ar,app_ar_AE,app_ar_DZ,app_ar_EG,app_az,app_bg,app_bn,app_bn_IN,app_ca,app_cs,app_da,app_de,app_de_AT,app_de_CH,app_el,app_en,app_en_AU,app_en_CA,app_en_GB,app_en_IN,app_es,app_es_AR,app_es_CO,app_es_MX,app_et,app_fa,app_fi,app_fr,app_fr_BE,app_fr_CA,app_fr_CH,app_gl,app_gu,app_ha,app_he,app_hi,app_hr,app_hu,app_id,app_it,app_ja,app_kk,app_ko,app_ku,app_ln,app_lt,app_lv,app_ml,app_mn,app_mr,app_ms,app_ms_SG,app_my,app_nb,app_ne,app_nl,app_nl_BE,app_nn,app_pl,app_ps,app_pt,app_pt_PT,app_ro,app_ru,app_ru_KZ,app_ru_UA,app_si,app_sk,app_sl,app_sn,app_sr,app_sv,app_sw,app_ta,app_te,app_th,app_tl,app_tr,app_uk,app_ur,app_ur_IN,app_uz,app_vi,app_zh,app_zh_CN,app_zh_HK,app_zh_MO,app_zh_SG
cli_error_oops,"Oeps, iets het verkeerd gegaan",ይቅርታ፣ የሆነ ስህተት ተከስቷል,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,"Ups, nəsə səhv getdi","Опа, нещо се обърка","উফ, কিছু একটা ভুল হয়েছে","ওহো, কিছু একটা ভুল হয়েছে","Vaja, alguna cosa ha anat malament","Jejda, něco se pokazilo","Ups, noget gik galt","Hoppla, etwas ist schiefgelaufen","Hoppla, etwas ist schiefgelaufen","Hoppla, etwas ist schiefgelaufen","Ωχ, κάτι πήγε στραβά","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Ups, algo salió mal","Ups, algo salió mal","Ups, algo salió mal","Ups, algo salió mal","Ups, midagi läks valesti",اوه، مشکلی پیش آمد,"Hups, jokin meni pieleen","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Vaia, algo saíu mal","અરે, કંઈક ખોટું થયું","Kash, akwai wani abu da ya faru","אופס, משהו השתבש","उफ़, कुछ गलत हो गया","Ups, nešto je pošlo po krivu","Hoppá, valami hiba történt","Ups, terjadi kesalahan","Ops, qualcosa è andato storto",おっと、問題が発生しました,"Ойбай, бір нәрсе дұрыс болмады","앗, 문제가 발생했습니다","Ops, tiştek çewt çû","Oyo, eloko moko esalemi malamu te","Oi, kažkas nutiko","Ak vai, kaut kas nogāja greizi","അയ്യോ, എന്തോ തെറ്റ് സംഭവിച്ചു","Өө, ямар нэгэн зүйл буруу болсон","अरेरे, काहीतरी चूक झाली","Alamak, ada sesuatu yang tidak kena","Alamak, ada sesuatu yang tidak betul",အို၊ တစ်ခုခုမှားယွင်းသွားပါပြီ,"Ups, noe gikk galt","उफ्, केही गलत भयो","Oeps, er is iets misgegaan","Oeps, er is iets misgelopen","Uff, noko gjekk gale","Ups, coś poszło nie tak",افسوس، کومه ستونزه رامنځته شوه,"Ops, algo deu errado","Ups, algo correu mal","Ups, ceva nu a funcționat","Упс, что-то пошло не так","Упс, что-то пошло не так","Упс, что-то пошло не так","අයියෝ, යමක් වැරදී ඇත","Ups, niečo sa pokazilo","Ups, nekaj je šlo narobe","Haiwa, pane chakakanganisika","Упс, нешто је пошло наопако","Hoppsan, något gick fel","Samahani, kuna hitilafu imetokea","அடடா, ஏதோ தவறு நடந்துவிட்டது","అయ్యో, ఏదో తప్పు జరిగింది",อุปส์ มีบางอย่างผิดพลาด,"Oops, may mali na nangyari","Hata, bir şeyler yanlış gitti","Упс, щось пішло не так",افسوس، کچھ غلط ہو گیا,افسوس، کچھ غلط ہو گیا,"Voy, xatolik yuz berdi","Rất tiếc, đã xảy ra lỗi",糟糕，出了點問題,糟糕，出错了,哎呀，出錯了,哎呀，出錯了,哎呀，出错了
cli_error_content,'n Onverwagse fout het voorgekom. Wil jy 'n e-posverslag indien?,የማይጠበቅ ስህተት ተከስቷል። የኢሜይል ሪፖርት ማስገባት ይፈልጋሉ?,حدث خطأ غير متوقع. هل ترغب في إرسال تقرير بالبريد الإلكتروني؟,حدث خطأ غير متوقع. هل ترغب في إرسال تقرير بالبريد الإلكتروني؟,حدث خطأ غير متوقع. هل ترغب في إرسال تقرير بالبريد الإلكتروني؟,حدث خطأ غير متوقع. هل ترغب في إرسال تقرير بالبريد الإلكتروني؟,Gözlənilməz xəta baş verdi. E-poçt hesabatı göndərmək istəyirsiniz?,Възникна неочаквана грешка. Искате ли да изпратите имейл доклад?,একটি অপ্রত্যাশিত ত্রুটি ঘটেছে। আপনি কি একটি ইমেল রিপোর্ট জমা দিতে চান?,একটি অপ্রত্যাশিত ত্রুটি ঘটেছে। আপনি কি একটি ইমেল রিপোর্ট পাঠাতে চান?,S'ha produït un error inesperat. Vols enviar un informe per correu electrònic?,Došlo k neočekávané chybě. Chcete odeslat zprávu e-mailem?,Der opstod en uventet fejl. Vil du indsende en e-mailrapport?,Ein unerwarteter Fehler ist aufgetreten. Möchten Sie einen Fehlerbericht per E-Mail senden?,Ein unerwarteter Fehler ist aufgetreten. Möchten Sie einen Fehlerbericht per E-Mail senden?,Ein unerwarteter Fehler ist aufgetreten. Möchten Sie einen Fehlerbericht per E-Mail senden?,Παρουσιάστηκε ένα απρόσμενο σφάλμα. Θα θέλατε να υποβάλετε μια αναφορά μέσω email;,An unexpected error occurred. Would you like to submit a email report?,An unexpected error occurred. Would you like to submit an email report?,An unexpected error occurred. Would you like to submit an email report?,An unexpected error occurred. Would you like to submit an email report?,An unexpected error occurred. Would you like to submit an email report?,Ocurrió un error inesperado. ¿Te gustaría enviar un informe por correo electrónico?,Ocurrió un error inesperado. ¿Querés enviar un informe por correo electrónico?,Ocurrió un error inesperado. ¿Te gustaría enviar un informe por correo electrónico?,Ocurrió un error inesperado. ¿Te gustaría enviar un reporte por correo electrónico?,Ilmnes ootamatu viga. Kas soovite saata e-posti aruande?,یک خطای غیرمنتظره رخ داد. آیا می‌خواهید گزارشی از طریق ایمیل ارسال کنید؟,Tapahtui odottamaton virhe. Haluatko lähettää sähköpostiraportin?,Une erreur inattendue s'est produite. Souhaitez-vous envoyer un rapport par email ?,Une erreur inattendue s'est produite. Souhaitez-vous envoyer un rapport par e-mail ?,Une erreur inattendue est survenue. Souhaitez-vous envoyer un rapport par courriel ?,Une erreur inattendue s'est produite. Souhaitez-vous envoyer un rapport par e-mail ?,Ocorreu un erro inesperado. Queres enviar un informe por correo electrónico?,અનપેક્ષિત ભૂલ આવી. શું તમે ઈમેલ રિપોર્ટ મોકલવા માંગો છો?,An sami kuskure da ba a sani ba. Kana son aika rahoton imel?,אירעה שגיאה בלתי צפויה. האם תרצה לשלוח דוח באימייל?,एक अप्रत्याशित त्रुटि हुई। क्या आप ईमेल रिपोर्ट भेजना चाहते हैं?,Došlo je do neočekivane pogreške. Želite li poslati izvješće e-poštom?,Váratlan hiba történt. Szeretne e-mail jelentést küldeni?,Terjadi kesalahan yang tidak terduga. Apakah Anda ingin mengirimkan laporan email?,Si è verificato un errore imprevisto. Desideri inviare un rapporto via email?,予期せぬエラーが発生しました。メールでレポートを送信しますか？,Күтпеген қате орын алды. Электрондық пошта арқылы есеп жібергіңіз келе ме?,예기치 않은 오류가 발생했습니다. 이메일 보고서를 제출하시겠습니까?,Çewtiyeke nenas derket. Ma hûn dixwazin raporeke e-mailê bişînin?,Mbeba oyo toyebaki te esalemi. Olingi kotinda rapport na email?,Įvyko netikėta klaida. Ar norėtumėte pateikti el. pašto ataskaitą?,Notika neparedzēta kļūda. Vai vēlaties nosūtīt ziņojumu pa e-pastu?,അപ്രതീക്ഷിതമായ ഒരു പിശക് സംഭവിച്ചു. ഇമെയിൽ റിപ്പോർട്ട് സമർപ്പിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?,Гэнэтийн алдаа гарлаа. Та имэйлээр тайлан илгээхийг хүсч байна уу?,अनपेक्षित त्रुटी आली. तुम्हाला ईमेल अहवाल सादर करायचा आहे का?,Ralat tidak dijangka telah berlaku. Adakah anda ingin menghantar laporan melalui e-mel?,Ralat tidak dijangka telah berlaku. Adakah anda ingin menghantar laporan melalui e-mel?,မမျှော်လင့်ထားသော အမှားတစ်ခု ဖြစ်ပွားခဲ့သည်။ အီးမေးလ်အစီရင်ခံစာ ပေးပို့လိုပါသလား။,Det oppstod en uventet feil. Vil du sende en e-postrapport?,अनपेक्षित त्रुटि भयो। के तपाईं इमेल रिपोर्ट पठाउन चाहनुहुन्छ?,Er is een onverwachte fout opgetreden. Wil je een e-mailrapport sturen?,Er is een onverwachte fout opgetreden. Wilt u een e-mailrapport versturen?,Det oppstod ein uventa feil. Vil du sende ein e-postrapport?,Wystąpił nieoczekiwany błąd. Czy chcesz wysłać raport e-mail?,یوه ناڅاپي تېروتنه رامنځته شوه. ایا غواړئ د بریښنالیک راپور واستوئ؟,Ocorreu um erro inesperado. Gostaria de enviar um relatório por e-mail?,Ocorreu um erro inesperado. Pretende enviar um relatório por e-mail?,A apărut o eroare neașteptată. Doriți să trimiteți un raport prin e-mail?,Произошла непредвиденная ошибка. Хотите отправить отчет по электронной почте?,Произошла непредвиденная ошибка. Хотите отправить отчет по электронной почте?,Произошла непредвиденная ошибка. Хотите отправить отчет по электронной почте?,අනපේක්ෂිත දෝෂයක් සිදුවිය. ඔබට විද්‍යුත් තැපැල් වාර්තාවක් ඉදිරිපත් කිරීමට අවශ්‍යද?,Vyskytla sa neočakávaná chyba. Chcete odoslať e-mailovú správu?,Prišlo je do nepričakovane napake. Ali želite poslati poročilo po e-pošti?,Pane chikanganiso chakaitika. Munoda kutumira ripoti neimeri here?,Догодила се неочекивана грешка. Да ли желите да пошаљете извештај е-поштом?,Ett oväntat fel inträffade. Vill du skicka en rapport via e-post?,"Hitilafu isiyotarajiwa imetokea. Je, ungependa kutuma ripoti kwa barua pepe?",எதிர்பாராத பிழை ஏற்பட்டது. மின்னஞ்சல் அறிக்கையை சமர்ப்பிக்க விரும்புகிறீர்களா?,ఊహించని లోపం సంభవించింది. మీరు ఇమెయిల్ నివేదికను సమర్పించాలనుకుంటున్నారా?,เกิดข้อผิดพลาดที่ไม่คาดคิด คุณต้องการส่งรายงานทางอีเมลหรือไม่?,Mayroong hindi inaasahang error na nangyari. Gusto mo bang magsumite ng email report?,Beklenmeyen bir hata oluştu. E-posta raporu göndermek ister misiniz?,Сталася неочікувана помилка. Бажаєте надіслати звіт електронною поштою?,ایک غیر متوقع خرابی پیش آئی۔ کیا آپ ای میل رپورٹ جمع کرانا چاہتے ہیں؟,ایک غیر متوقع خرابی پیش آئی۔ کیا آپ ای میل رپورٹ جمع کرانا چاہتے ہیں؟,Kutilmagan xatolik yuz berdi. Elektron pochta hisobotini yuborishni xohlaysizmi?,Đã xảy ra lỗi không mong muốn. Bạn có muốn gửi báo cáo qua email không?,發生了意外錯誤。您要提交電子郵件報告嗎？,发生了意外错误。您想发送电子邮件报告吗？,發生了意外錯誤。您想提交電郵報告嗎？,發生了意外錯誤。您想提交電郵報告嗎？,发生了意外错误。您想发送电子邮件报告吗？
cli_error_report,E-pos ons,ኢሜይል ይላኩልን,راسلنا,راسلنا عبر البريد الإلكتروني,راسلنا عبر البريد الإلكتروني,راسلنا بالبريد الإلكتروني,Bizə e-poçt göndərin,Пишете ни,আমাদের ইমেল করুন,আমাদের ইমেল করুন,Envia'ns un correu,Napište nám,Send os en e-mail,E-Mail an uns,E-Mail an uns,E-Mail an uns,Στείλτε μας email,Email us,Email us,Email us,Email us,Email us,Envíanos un correo,Envianos un correo,Envíanos un correo,Envíanos un correo,Saada meile e-kiri,به ما ایمیل بزنید,Lähetä meille sähköpostia,Nous contacter par email,Nous contacter par e-mail,Nous contacter par courriel,Nous contacter par e-mail,Envíanos un correo,અમને ઈમેલ કરો,Aika mana imel,שלח לנו אימייל,हमें ईमेल करें,Pošaljite nam e-poštu,E-mail küldése nekünk,Email kami,Scrivici una email,メールで連絡する,Бізге электрондық хат жіберіңіз,이메일 보내기,Ji me re e-mail bişînin,Tindela biso email,Susisiekite el. paštu,Rakstiet mums e-pastu,ഞങ്ങൾക്ക് ഇമെയിൽ ചെയ്യുക,Бидэнд имэйл илгээх,आम्हाला ईमेल करा,E-mel kepada kami,E-mel kepada kami,ကျွန်ုပ်တို့ထံ အီးမေးလ်ပို့ပါ,Send oss e-post,हामीलाई इमेल गर्नुहोस्,Mail ons,Mail ons,Send oss e-post,Napisz do nas,موږ ته بریښنالیک واستوئ,Enviar e-mail,Enviar-nos e-mail,Trimite-ne un e-mail,Напишите нам,Напишите нам,Напишите нам,අපට ඊමේල් කරන්න,Napíšte nám e-mail,Pošljite nam e-pošto,Titumireiwo imeri,Пошаљите нам е-пошту,Mejla oss,Tutumie barua pepe,எங்களுக்கு மின்னஞ்சல் அனுப்பவும்,మాకు ఇమెయిల్ చేయండి,อีเมลถึงเรา,Mag-email sa amin,Bize e-posta gönderin,Напишіть нам,ہمیں ای میل کریں,ہمیں ای میل کریں,Bizga elektron pochta yuboring,Gửi email cho chúng tôi,寄信給我們,给我们发送电子邮件,電郵我們,電郵我們,给我们发送电子邮件
submit,Indien,አስገባ,إرسال,إرسال,إرسال,إرسال,Göndər,Изпрати,জমা দিন,জমা দিন,Enviar,Odeslat,Indsend,Absenden,Absenden,Absenden,Υποβολή,Submit,Submit,Submit,Submit,Submit,Enviar,Enviar,Enviar,Enviar,Saada,ارسال,Lähetä,Envoyer,Envoyer,Soumettre,Envoyer,Enviar,સબમિટ કરો,Aika,שלח,सबमिट करें,Pošalji,Küldés,Kirim,Invia,送信,Жіберу,제출,Bişîne,Tinda,Pateikti,Iesniegt,സമർപ്പിക്കുക,Илгээх,सबमिट करा,Hantar,Hantar,ပေးပို့ရန်,Send inn,पेश गर्नुहोस्,Verzenden,Versturen,Send inn,Wyślij,وسپارئ,Enviar,Submeter,Trimite,Отправить,Отправить,Отправить,ඉදිරිපත් කරන්න,Odoslať,Pošlji,Tumira,Пошаљи,Skicka,Wasilisha,சமர்ப்பி,సమర్పించు,ส่ง,Isumite,Gönder,Надіслати,جمع کرائیں,جمع کرائیں,Yuborish,Gửi đi,提交,提交,提交,提交,提交
ok,OK,እሺ,موافق,موافق,موافق,موافق,Tamam,ОК,ঠিক আছে,ঠিক আছে,D'acord,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Aceptar,Aceptar,Aceptar,Aceptar,OK,تایید,OK,OK,OK,OK,OK,OK,ઠીક છે,OK,אישור,ठीक है,U redu,OK,OK,OK,OK,OK,확인,Baş e,OK,Gerai,Labi,ശരി,ЗА,ठीक आहे,OK,OK,အိုကေ,OK,ठिक छ,OK,OK,OK,OK,سمه ده,OK,OK,OK,OK,OK,OK,හරි,OK,V redu,Zvakanaka,У реду,OK,Sawa,சரி,సరే,ตกลง,OK,Tamam,Гаразд,ٹھیک ہے,ٹھیک ہے,OK,OK,確定,确定,確定,確定,确定
cancel,Kanselleer,ሰርዝ,إلغاء,إلغاء,إلغاء,إلغاء,Ləğv et,Отказ,বাতিল,বাতিল,Cancel·lar,Zrušit,Annuller,Abbrechen,Abbrechen,Abbrechen,Ακύρωση,Cancel,Cancel,Cancel,Cancel,Cancel,Cancelar,Cancelar,Cancelar,Cancelar,Tühista,لغو,Peruuta,Annuler,Annuler,Annuler,Annuler,Cancelar,રદ કરો,Soke,ביטול,रद्द करें,Odustani,Mégse,Batal,Annulla,キャンセル,Болдырмау,취소,Betal bike,Annuler,Atšaukti,Atcelt,റദ്ദാക്കുക,Цуцлах,रद्द करा,Batal,Batal,ပယ်ဖျက်ရန်,Avbryt,रद्द गर्नुहोस्,Annuleren,Annuleren,Avbryt,Anuluj,لغوه کول,Cancelar,Cancelar,Anulează,Отмена,Отмена,Отмена,අවලංගු කරන්න,Zrušiť,Prekliči,Kanzura,Откажи,Avbryt,Ghairi,ரத்து செய்,రద్దు చేయి,ยกเลิก,Kanselahin,İptal,Скасувати,منسوخ کریں,منسوخ کریں,Bekor qilish,Hủy,取消,取消,取消,取消,取消
yes,Ja,አዎ,نعم,نعم,نعم,نعم,Bəli,Да,হ্যাঁ,হ্যাঁ,Sí,Ano,Ja,Ja,Ja,Ja,Ναι,Yes,Yes,Yes,Yes,Yes,Sí,Sí,Sí,Sí,Jah,بله,Kyllä,Oui,Oui,Oui,Oui,Si,હા,Ee,כן,हाँ,Da,Igen,Ya,Sì,はい,Иә,예,Erê,Iyo,Taip,Jā,അതെ,Тийм,होय,Ya,Ya,ဟုတ်ကဲ့,Ja,हो,Ja,Ja,Ja,Tak,هو,Sim,Sim,Da,Да,Да,Да,ඔව්,Áno,Da,Hongu,Да,Ja,Ndio,ஆம்,అవును,ใช่,Oo,Evet,Так,ہاں,ہاں,Ha,Có,是,是,是,是,是
no,Nee,አይ,لا,لا,لا,لا,Xeyr,Не,না,না,No,Ne,Nej,Nein,Nein,Nein,Όχι,No,No,No,No,No,No,No,No,No,Ei,خیر,Ei,Non,Non,Non,Non,Non,ના,A'a,לא,नहीं,Ne,Nem,Tidak,No,いいえ,Жоқ,아니오,Na,Te,Ne,Nē,അല്ല,Үгүй,नाही,Tidak,Tidak,မဟုတ်ပါ,Nei,होइन,Nee,Nee,Nei,Nie,نه,Não,Não,Nu,Нет,Нет,Нет,නැත,Nie,Ne,Kwete,Не,Nej,La,இல்லை,కాదు,ไม่,Hindi,Hayır,Ні,نہیں,نہیں,Yo'q,Không,否,否,否,否,否
close,Sluit,ዝጋ,إغلاق,إغلاق,إغلاق,إغلاق,Bağla,Затвори,বন্ধ করুন,বন্ধ করুন,Tancar,Zavřít,Luk,Schließen,Schließen,Schliessen,Κλείσιμο,Close,Close,Close,Close,Close,Cerrar,Cerrar,Cerrar,Cerrar,Sulge,بستن,Sulje,Fermer,Fermer,Fermer,Fermer,Pechar,બંધ કરો,Rufe,סגור,बंद करें,Zatvori,Bezárás,Tutup,Chiudi,閉じる,Жабу,닫기,Bigire,Kanga,Uždaryti,Aizvērt,അടയ്ക്കുക,Хаах,बंद करा,Tutup,Tutup,ပိတ်ရန်,Lukk,बन्द गर्नुहोस्,Sluiten,Sluiten,Lukk,Zamknij,بند کړئ,Fechar,Fechar,Închide,Закрыть,Закрыть,Закрыть,වසන්න,Zatvoriť,Zapri,Vhara,Затвори,Stäng,Funga,மூடு,మూసివేయి,ปิด,Isara,Kapat,Закрити,بند کریں,بند کریں,Yopish,Đóng,關閉,关闭,關閉,關閉,关闭
back,Terug,ተመለስ,رجوع,رجوع,رجوع,رجوع,Geri,Назад,পিছনে,পিছনে,Enrere,Zpět,Tilbage,Zurück,Zurück,Zurück,Πίσω,Back,Back,Back,Back,Back,Atrás,Atrás,Atrás,Atrás,Tagasi,بازگشت,Takaisin,Retour,Retour,Retour,Retour,Atrás,પાછળ,Koma,חזרה,वापस,Natrag,Vissza,Kembali,Indietro,戻る,Артқа,뒤로,Vegere,Zonga,Atgal,Atpakaļ,തിരികെ,Буцах,मागे,Kembali,Kembali,နောက်သို့,Tilbake,पछाडि,Terug,Terug,Tilbake,Wstecz,شاته,Voltar,Voltar,Înapoi,Назад,Назад,Назад,ආපසු,Späť,Nazaj,Dzokera,Назад,Tillbaka,Rudi,பின்செல்,వెనుకకు,กลับ,Bumalik,Geri,Назад,واپس,واپس,Orqaga,Quay lại,返回,返回,返回,返回,返回
