Key,app_af,app_am,app_ar,app_ar_AE,app_ar_DZ,app_ar_EG,app_az,app_bg,app_bn,app_bn_IN,app_ca,app_cs,app_da,app_de,app_de_AT,app_de_CH,app_el,app_en,app_en_AU,app_en_CA,app_en_GB,app_en_IN,app_es,app_es_AR,app_es_CO,app_es_MX,app_et,app_fa,app_fi,app_fr,app_fr_BE,app_fr_CA,app_fr_CH,app_gl,app_gu,app_he,app_hi,app_hr,app_hu,app_id,app_it,app_ja,app_kk,app_ko,app_lt,app_lv,app_ml,app_mn,app_mr,app_ms,app_ms_SG,app_my,app_nb,app_ne,app_nl,app_nl_BE,app_pl,app_pt,app_pt_PT,app_ro,app_ru,app_ru_KZ,app_ru_UA,app_si,app_sk,app_sl,app_sr,app_sv,app_sw,app_ta,app_te,app_th,app_tl,app_tr,app_uk,app_ur,app_ur_IN,app_uz,app_vi,app_zh,app_zh_CN,app_zh_HK,app_zh_MO,app_zh_SG
back,Terug,ተመለስ,رجوع,رجوع,رجوع,رجوع,Geri,Назад,পিছনে,পিছনে,Enrere,Zpět,Tilbage,Zurück,Zurück,Zurück,Πίσω,Back,Back,Back,Back,Back,Atrás,Atrás,Atrás,Atrás,Tagasi,بازگشت,Takaisin,Retour,Retour,Retour,Retour,Atrás,પાછળ,חזרה,वापस,Natrag,Vissza,Kembali,Indietro,戻る,Артқа,뒤로,Atgal,Atpakaļ,തിരികെ,Буцах,मागे,Kembali,Kembali,နောက်သို့,Tilbake,पछाडि,Terug,Terug,Wstecz,Voltar,Voltar,Înapoi,Назад,Назад,Назад,ආපසු,Späť,Nazaj,Назад,Tillbaka,Rudi,பின்செல்,వెనుకకు,กลับ,Bumalik,Geri,Назад,واپس,واپس,Orqaga,Quay lại,返回,返回,返回,返回,返回
cancel,Kanselleer,ሰርዝ,إلغاء,إلغاء,إلغاء,إلغاء,Ləğv et,Отказ,বাতিল,বাতিল,Cancel·lar,Zrušit,Annuller,Abbrechen,Abbrechen,Abbrechen,Ακύρωση,Cancel,Cancel,Cancel,Cancel,Cancel,Cancelar,Cancelar,Cancelar,Cancelar,Tühista,لغو,Peruuta,Annuler,Annuler,Annuler,Annuler,Cancelar,રદ કરો,ביטול,रद्द करें,Odustani,Mégse,Batal,Annulla,キャンセル,Болдырмау,취소,Atšaukti,Atcelt,റദ്ദാക്കുക,Цуцлах,रद्द करा,Batal,Batal,ပယ်ဖျက်ရန်,Avbryt,रद्द गर्नुहोस्,Annuleren,Annuleren,Anuluj,Cancelar,Cancelar,Anulează,Отмена,Отмена,Отмена,අවලංගු කරන්න,Zrušiť,Prekliči,Откажи,Avbryt,Ghairi,ரத்து செய்,రద్దు చేయి,ยกเลิก,Kanselahin,İptal,Скасувати,منسوخ کریں,منسوخ کریں,Bekor qilish,Hủy,取消,取消,取消,取消,取消
close,Sluit,ዝጋ,إغلاق,إغلاق,إغلاق,إغلاق,Bağla,Затвори,বন্ধ করুন,বন্ধ করুন,Tancar,Zavřít,Luk,Schließen,Schließen,Schliessen,Κλείσιμο,Close,Close,Close,Close,Close,Cerrar,Cerrar,Cerrar,Cerrar,Sulge,بستن,Sulje,Fermer,Fermer,Fermer,Fermer,Pechar,બંધ કરો,סגור,बंद करें,Zatvori,Bezárás,Tutup,Chiudi,閉じる,Жабу,닫기,Uždaryti,Aizvērt,അടയ്ക്കുക,Хаах,बंद करा,Tutup,Tutup,ပိတ်ရန်,Lukk,बन्द गर्नुहोस्,Sluiten,Sluiten,Zamknij,Fechar,Fechar,Închide,Закрыть,Закрыть,Закрыть,වසන්න,Zatvoriť,Zapri,Затвори,Stäng,Funga,மூடு,మూసివేయి,ปิด,Isara,Kapat,Закрити,بند کریں,بند کریں,Yopish,Đóng,關閉,关闭,關閉,關閉,关闭
managed_error_content,"An onverwagse fout het voorgekom. Ons het reeds hierdie fout aangeteken. Probeer asseblief later weer.","የማይጠበቅ ስህተት ተከስቷል። ይህን ስህተት አስቀድመን ሰፍረናል። እባክዎ ቆይተው ዳግመኛ ይሞክሩ።","حدث خطأ غير متوقع. لقد سجلنا هذا الخطأ بالفعل. يرجى المحاولة مرة أخرى لاحقاً.","حدث خطأ غير متوقع. لقد سجلنا هذا الخطأ بالفعل. يرجى المحاولة مرة أخرى لاحقاً.","حدث خطأ غير متوقع. لقد سجلنا هذا الخطأ بالفعل. يرجى المحاولة مرة أخرى لاحقاً.","حدث خطأ غير متوقع. لقد سجلنا هذا الخطأ بالفعل. يرجى المحاولة مرة أخرى لاحقاً.","Gözlənilməz xəta baş verdi. Bu xətanı artıq qeyd etdik. Xahiş edirik sonra yenidən cəhd edin.","Възникна неочаквана грешка. Вече записахме тази грешка. Моля, опитайте отново по-късно.","একটি অপ্রত্যাশিত ত্রুটি ঘটেছে। আমরা ইতিমধ্যে এই ত্রুটিটি রেকর্ড করেছি। অনুগ্রহ করে পরে আবার চেষ্টা করুন।","একটি অপ্রত্যাশিত ত্রুটি ঘটেছে। আমরা ইতিমধ্যে এই ত্রুটিটি রেকর্ড করেছি। অনুগ্রহ করে পরে আবার চেষ্টা করুন।","S'ha produït un error inesperat. Ja hem registrat aquest error. Torneu-ho a provar més tard.","Došlo k neočekávané chybě. Tuto chybu jsme již zaznamenali. Zkuste to prosím znovu později.","Der opstod en uventet fejl. Vi har allerede logget denne fejl. Prøv venligst igen senere.","Ein unerwarteter Fehler ist aufgetreten. Wir haben diesen Fehler bereits protokolliert. Bitte versuchen Sie es später erneut.","Ein unerwarteter Fehler ist aufgetreten. Wir haben diesen Fehler bereits protokolliert. Bitte versuchen Sie es später erneut.","Ein unerwarteter Fehler ist aufgetreten. Wir haben diesen Fehler bereits protokolliert. Bitte versuchen Sie es später erneut.","Παρουσιάστηκε ένα απρόσμενο σφάλμα. Έχουμε ήδη καταγράψει αυτό το σφάλμα. Παρακαλώ δοκιμάστε ξανά αργότερα.","An unexpected error occurred. We've already logged this error. Please try again later.","An unexpected error occurred. We've already logged this error. Please try again later.","An unexpected error occurred. We've already logged this error. Please try again later.","An unexpected error occurred. We've already logged this error. Please try again later.","An unexpected error occurred. We've already logged this error. Please try again later.","Ocurrió un error inesperado. Ya hemos registrado este error. Por favor, inténtalo de nuevo más tarde.","Ocurrió un error inesperado. Ya registramos este error. Por favor, intentá de nuevo más tarde.","Ocurrió un error inesperado. Ya hemos registrado este error. Por favor, inténtalo de nuevo más tarde.","Ocurrió un error inesperado. Ya registramos este error. Por favor, inténtalo de nuevo más tarde.","Ilmnes ootamatu viga. Oleme selle vea juba registreerinud. Palun proovige hiljem uuesti.","یک خطای غیرمنتظره رخ داد. ما قبلاً این خطا را ثبت کرده‌ایم. لطفاً بعداً دوباره تلاش کنید.","Tapahtui odottamaton virhe. Olemme jo kirjanneet tämän virheen. Yritä myöhemmin uudelleen.","Une erreur inattendue s'est produite. Nous avons déjà enregistré cette erreur. Veuillez réessayer plus tard.","Une erreur inattendue s'est produite. Nous avons déjà enregistré cette erreur. Veuillez réessayer plus tard.","Une erreur inattendue est survenue. Nous avons déjà enregistré cette erreur. Veuillez réessayer plus tard.","Une erreur inattendue s'est produite. Nous avons déjà enregistré cette erreur. Veuillez réessayer plus tard.","Ocorreu un erro inesperado. Xa rexistramos este erro. Téntao de novo máis tarde.","અનપેક્ષિત ભૂલ આવી. અમે આ ભૂલ પહેલાથી લોગ કરી છે. કૃપા કરીને પછી ફરી પ્રયાસ કરો.","אירעה שגיאה בלתי צפויה. כבר רשמנו את השגיאה הזו. אנא נסה שוב מאוחר יותר.","एक अप्रत्याशित त्रुटि हुई। हमने पहले से ही इस त्रुटि को लॉग किया है। कृपया बाद में पुनः प्रयास करें।","Došlo je do neočekivane pogreške. Već smo zabilježili ovu grešku. Molimo pokušajte ponovo kasnije.","Váratlan hiba történt. Már rögzítettük ezt a hibát. Kérjük, próbálja újra később.","Terjadi kesalahan yang tidak terduga. Kami sudah mencatat kesalahan ini. Silakan coba lagi nanti.","Si è verificato un errore imprevisto. Abbiamo già registrato questo errore. Riprova più tardi.","予期せぬエラーが発生しました。このエラーはすでに記録されています。後でもう一度お試しください。","Күтпеген қате орын алды. Біз бұл қатені әлдеқашан журналға енгіздік. Кейінірек қайталап көріңіз.","예기치 않은 오류가 발생했습니다. 이미 이 오류를 기록했습니다. 나중에 다시 시도해주세요.","Įvyko netikėta klaida. Jau užregistravome šią klaidą. Bandykite dar kartą vėliau.","Notika neparedzēta kļūda. Mēs jau esam reģistrējuši šo kļūdu. Lūdzu, mēģiniet vēlāk.","അപ്രതീക്ഷിതമായ ഒരു പിശക് സംഭവിച്ചു. ഞങ്ങൾ ഈ പിശക് ഇതിനകം ലോഗ് ചെയ്തിട്ടുണ്ട്. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക.","Гэнэтийн алдаа гарлаа. Бид энэ алдааг аль хэдийн бүртгэсэн. Дараа дахин оролдоно уу.","अनपेक्षित त्रुटी आली. आम्ही आधीच ही त्रुटी लॉग केली आहे. कृपया नंतर पुन्हा प्रयत्न करा.","Ralat tidak dijangka telah berlaku. Kami telah mencatat ralat ini. Sila cuba lagi nanti.","Ralat tidak dijangka telah berlaku. Kami telah mencatat ralat ini. Sila cuba lagi nanti.","မမျှော်လင့်ထားသော အမှားတစ်ခု ဖြစ်ပွားခဲ့သည်။ ကျွန်ုပ်တို့သည် ဤအမှားကို ရှိပြီးမှ မှတ်တမ်းတင်ထားပါသည်။ ကျေးဇူးပြု၍ နောက်မှ ထပ်မံကြိုးစားပါ။","Det oppstod en uventet feil. Vi har allerede loggført denne feilen. Vennligst prøv igjen senere.","अनपेक्षित त्रुटि भयो। हामीले यो त्रुटि पहिले नै लग गरिसकेका छौं। कृपया पछि फेरि प्रयास गर्नुहोस्।","Er is een onverwachte fout opgetreden. We hebben deze fout al gelogd. Probeer het later opnieuw.","Er is een onverwachte fout opgetreden. We hebben deze fout al gelogd. Probeer het later opnieuw.","Wystąpił nieoczekiwany błąd. Już zalogowaliśmy ten błąd. Spróbuj ponownie później.","Ocorreu um erro inesperado. Já registramos este erro. Por favor, tente novamente mais tarde.","Ocorreu um erro inesperado. Já registámos este erro. Por favor, tente novamente mais tarde.","A apărut o eroare neașteptată. Am înregistrat deja această eroare. Vă rugăm să încercați din nou mai târziu.","Произошла непредвиденная ошибка. Мы уже зарегистрировали эту ошибку. Пожалуйста, попробуйте снова позже.","Произошла непредвиденная ошибка. Мы уже зарегистрировали эту ошибку. Пожалуйста, попробуйте снова позже.","Произошла непредвиденная ошибка. Мы уже зарегистрировали эту ошибку. Пожалуйста, попробуйте снова позже.","අනපේක්ෂිත දෝෂයක් සිදුවිය. අපි මෙම දෝෂය දැනටමත් ලොග් කර ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න.","Vyskytla sa neočakávaná chyba. Túto chybu sme už zaznamenali. Skúste to neskôr znovu.","Prišlo je do nepričakovane napake. To napako smo že zabeležili. Poskusite znova pozneje.","Догодила се неочекивана грешка. Већ смо забележили ову грешку. Молимо покушајте поново касније.","Ett oväntat fel inträffade. Vi har redan loggat detta fel. Försök igen senare.","Hitilafu isiyotarajiwa imetokea. Tayari tumerejelea hitilafu hii. Tafadhali jaribu tena baadaye.","எதிர்பாராத பிழை ஏற்பட்டது. இந்தப் பிழையை நாங்கள் ஏற்கனவே பதிவு செய்துள்ளோம். தயவுசெய்து பின்னர் மீண்டும் முயற்சிக்கவும்.","ఊహించని లోపం సంభవించింది. మేము ఈ లోపాన్ని ఇప్పటికే లాగ్ చేసాము. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి.","เกิดข้อผิดพลาดที่ไม่คาดคิด เราได้บันทึกข้อผิดพลาดนี้แล้ว กรุณาลองใหม่อีกครั้งในภายหลัง","Mayroong hindi inaasahang error na nangyari. Na-log na namin ang error na ito. Pakisubukan ulit mamaya.","Beklenmeyen bir hata oluştu. Bu hatayı zaten günlüğe kaydettik. Lütfen daha sonra tekrar deneyin.","Сталася неочікувана помилка. Ми вже зареєстрували цю помилку. Будь ласка, спробуйте ще раз пізніше.","ایک غیر متوقع خرابی پیش آئی۔ ہم نے اس خرابی کو پہلے سے ہی لاگ کر دیا ہے۔ برائے کرم بعد میں دوبارہ کوشش کریں۔","ایک غیر متوقع خرابی پیش آئی۔ ہم نے اس خرابی کو پہلے سے ہی لاگ کر دیا ہے۔ برائے کرم بعد میں دوبارہ کوشش کریں۔","Kutilmagan xatolik yuz berdi. Biz bu xatolikni allaqachon yozib qo'ygamiz. Iltimos keyinroq qayta urinib ko'ring.","Đã xảy ra lỗi không mong muốn. Chúng tôi đã ghi lại lỗi này rồi. Vui lòng thử lại sau.","發生了意外錯誤。我們已經記錄了這個錯誤。請稍後再試。","发生了意外错误。我们已经记录了这个错误。请稍后重试。","發生了意外錯誤。我們已經記錄了這個錯誤。請稍後再試。","發生了意外錯誤。我們已經記錄了這個錯誤。請稍後再試。","发生了意外错误。我们已经记录了这个错误。请稍后重试。"
managed_error_oops,"Oeps, iets het verkeerd gegaan",ይቅርታ፣ የሆነ ስህተት ተከስቷል,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,عفواً، حدث خطأ ما,"Ups, nəsə səhv getdi","Опа, нещо се обърка","উফ, কিছু একটা ভুল হয়েছে","ওহো, কিছু একটা ভুল হয়েছে","Vaja, alguna cosa ha anat malament","Jejda, něco se pokazilo","Ups, noget gik galt","Hoppla, etwas ist schiefgelaufen","Hoppla, etwas ist schiefgelaufen","Hoppla, etwas ist schiefgelaufen","Ωχ, κάτι πήγε στραβά","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Oops, something went wrong","Ups, algo salió mal","Ups, algo salió mal","Ups, algo salió mal","Ups, algo salió mal","Ups, midagi läks valesti",اوه، مشکلی پیش آمد,"Hups, jokin meni pieleen","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Oups, quelque chose s'est mal passé","Vaia, algo saíu mal","અરે, કંઈક ખોટું થયું","אופס, משהו השתבש","उफ़, कुछ गलत हो गया","Ups, nešto je pošlo po krivu","Hoppá, valami hiba történt","Ups, terjadi kesalahan","Ops, qualcosa è andato storto",おっと、問題が発生しました,"Ойбай, бір нәрсе дұрыс болмады","앗, 문제가 발생했습니다","Oi, kažkas nutiko","Ak vai, kaut kas nogāja greizi","അയ്യോ, എന്തോ തെറ്റ് സംഭവിച്ചു","Өө, ямар нэгэн зүйл буруу болсон","अरेरे, काहीतरी चूक झाली","Alamak, ada sesuatu yang tidak kena","Alamak, ada sesuatu yang tidak betul",အို၊ တစ်ခုခုမှားယွင်းသွားပါပြီ,"Ups, noe gikk galt","उफ्, केही गलत भयो","Oeps, er is iets misgegaan","Oeps, er is iets misgelopen","Ups, coś poszło nie tak","Ops, algo deu errado","Ups, algo correu mal","Ups, ceva nu a funcționat","Упс, что-то пошло не так","Упс, что-то пошло не так","Упс, что-то пошло не так","අයියෝ, යමක් වැරදී ඇත","Ups, niečo sa pokazilo","Ups, nekaj je šlo narobe","Упс, нешто је пошло наопако","Hoppsan, något gick fel","Samahani, kuna hitilafu imetokea","அடடா, ஏதோ தவறு நடந்துவிட்டது","అయ్యో, ఏదో తప్పు జరిగింది",อุปส์ มีบางอย่างผิดพลาด,"Oops, may mali na nangyari","Hata, bir şeyler yanlış gitti","Упс, щось пішло не так",افسوس، کچھ غلط ہو گیا,افسوس، کچھ غلط ہو گیا,"Voy, xatolik yuz berdi","Rất tiếc, đã xảy ra lỗi",糟糕，出了點問題,糟糕，出错了,哎呀，出錯了,哎呀，出錯了,哎呀，出错了
no,Nee,አይ,لا,لا,لا,لا,Xeyr,Не,না,না,No,Ne,Nej,Nein,Nein,Nein,Όχι,No,No,No,No,No,No,No,No,No,Ei,خیر,Ei,Non,Non,Non,Non,Non,ના,לא,नहीं,Ne,Nem,Tidak,No,いいえ,Жоқ,아니오,Ne,Nē,അല്ല,Үгүй,नाही,Tidak,Tidak,မဟုတ်ပါ,Nei,होइन,Nee,Nee,Nie,Não,Não,Nu,Нет,Нет,Нет,නැත,Nie,Ne,Не,Nej,La,இல்லை,కాదు,ไม่,Hindi,Hayır,Ні,نہیں,نہیں,Yo'q,Không,否,否,否,否,否
ok,OK,እሺ,موافق,موافق,موافق,موافق,Tamam,ОК,ঠিক আছে,ঠিক আছে,D'acord,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Aceptar,Aceptar,Aceptar,Aceptar,OK,تایید,OK,OK,OK,OK,OK,OK,ઠીક છે,אישור,ठीक है,U redu,OK,OK,OK,OK,OK,확인,Gerai,Labi,ശരി,ЗА,ठीक आहे,OK,OK,အိုကေ,OK,ठिक छ,OK,OK,OK,OK,OK,OK,OK,OK,OK,හරි,OK,V redu,У реду,OK,Sawa,சரி,సరే,ตกลง,OK,Tamam,Гаразд,ٹھیک ہے,ٹھیک ہے,OK,OK,確定,确定,確定,確定,确定
submit,Indien,አስገባ,إرسال,إرسال,إرسال,إرسال,Göndər,Изпрати,জমা দিন,জমা দিন,Enviar,Odeslat,Indsend,Absenden,Absenden,Absenden,Υποβολή,Submit,Submit,Submit,Submit,Submit,Enviar,Enviar,Enviar,Enviar,Saada,ارسال,Lähetä,Envoyer,Envoyer,Soumettre,Envoyer,Enviar,સબમિટ કરો,שלח,सबमिट करें,Pošalji,Küldés,Kirim,Invia,送信,Жіберу,제출,Pateikti,Iesniegt,സമർപ്പിക്കുക,Илгээх,सबमिट करा,Hantar,Hantar,ပေးပို့ရန်,Send inn,पेश गर्नुहोस्,Verzenden,Versturen,Wyślij,Enviar,Submeter,Trimite,Отправить,Отправить,Отправить,ඉදිරිපත් කරන්න,Odoslať,Pošlji,Пошаљи,Skicka,Wasilisha,சமர்ப்பி,సమర్పించు,ส่ง,Isumite,Gönder,Надіслати,جمع کرائیں,جمع کرائیں,Yuborish,Gửi đi,提交,提交,提交,提交,提交
system_language,Stelsel Taal,የስርዓት ቋንቋ,لغة النظام,لغة النظام,لغة النظام,لغة النظام,Sistem Dili,Език на системата,সিস্টেম ভাষা,সিস্টেম ভাষা,Idioma del sistema,Systémový jazyk,Systemsprog,Systemsprache,Systemsprache,Systemsprache,Γλώσσα συστήματος,System Language,System Language,System Language,System Language,System Language,Idioma del sistema,Idioma del sistema,Idioma del sistema,Idioma del sistema,Süsteemi keel,زبان سیستم,Järjestelmän kieli,Langue du système,Langue du système,Langue du système,Langue du système,Idioma do sistema,સિસ્ટમ ભાષા,שפת מערכת,सिस्टम भाषा,Sistemski jezik,Rendszer nyelve,Bahasa Sistem,Lingua di sistema,システム言語,Жүйе тілі,시스템 언어,Sistemos kalba,Sistēmas valoda,സിസ്റ്റം ഭാഷ,Системийн хэл,प्रणाली भाषा,Bahasa Sistem,Bahasa Sistem,စစ်စဉ်ဘာသာ,Systemspråk,प्रणाली भाषा,Systeemtaal,Systeemtaal,Język systemu,Língua do sistema,Língua do sistema,Limba sistemului,Язык системы,Мова системи,Системски језик,පද්ධති භාෂාව,Systémový jazyk,Sistemski jezik,Језик система,Systemspråk,Lugha ya Mfumo,கணினி மொழி,సిస్టం భాష,ภาษาระบบ,Wika ng sistema,Sistem Dili,Мова системи,نظام کی زبان,نظام کی زبان,Tizim tili,Ngôn ngữ hệ thống,系統語言,系统语言,系統語言,系統語言,系統語言
yes,Ja,አዎ,نعم,نعم,نعم,نعم,Bəli,Да,হ্যাঁ,হ্যাঁ,Sí,Ano,Ja,Ja,Ja,Ja,Ναι,Yes,Yes,Yes,Yes,Yes,Sí,Sí,Sí,Sí,Jah,بله,Kyllä,Oui,Oui,Oui,Oui,Si,હા,כן,हाँ,Da,Igen,Ya,Sì,はい,Иә,예,Taip,Jā,അതെ,Тийм,होय,Ya,Ya,ဟုတ်ကဲ့,Ja,हो,Ja,Ja,Tak,Sim,Sim,Da,Да,Да,Да,ඔව්,Áno,Da,Да,Ja,Ndio,ஆம்,అవును,ใช่,Oo,Evet,Так,ہاں,ہاں,Ha,Có,是,是,是,是,是
