
af, am, ar, ar_AE, ar_DZ, ar_EG, az, bg, bn, bn_IN, ca, cs, da, de, de_AT, de_CH, el, en, en_AU, en_CA, en_GB, en_IN, es, es_AR, es_CO, es_MX, et, fa, fi, fr, fr_BE, fr_CA, fr_CH, gl, gu, ha, he, hi, hr, hu, id, it, ja, kk, ko, ku, ln, lt, lv, ml, mn, mr, ms, ms_SG, my, nb, ne, nl, nl_BE, nn, pl, ps, pt, pt_PT, ro, ru, ru_KZ, ru_UA, si, sk, sl, sn, sr, sv, sw, ta, te, th, tl, tr, uk, ur, ur_IN, uz, vi, zh, zh_CN, zh_HK, zh_MO, zh_SG

af  Afrikaans 南非、纳米比亚
am  阿姆哈拉语 埃塞俄比亚
ar  阿拉伯语  中东、北非
ar_AE 阿拉伯语  阿联酋
ar_DZ 阿拉伯语  阿尔及利亚
ar_EG 阿拉伯语  埃及
az  阿塞拜疆语 阿塞拜疆
bg  保加利亚语 保加利亚
bn  孟加拉语  孟加拉国
bn_IN 孟加拉语  印度
ca  加泰罗尼亚语  西班牙加泰罗尼亚地区
cs  捷克语 捷克
da  丹麦语 丹麦
de  德语  德国、奥地利、瑞士
de_AT 德语  奥地利
de_CH 德语  瑞士
el  希腊语 希腊、塞浦路斯
en  英语  全球
en_AU 英语  澳大利亚
en_CA 英语  加拿大
en_GB 英语  英国
en_IN 英语  印度
es  西班牙语  西班牙、拉丁美洲
es_AR 西班牙语  阿根廷
es_CO 西班牙语  哥伦比亚
es_MX 西班牙语  墨西哥
et  爱沙尼亚语 爱沙尼亚
fa  波斯语 伊朗、阿富汗
fi  芬兰语 芬兰
fr  法语  法国、非洲部分地区
fr_BE 法语  比利时
fr_CA 法语  加拿大魁北克省
fr_CH 法语  瑞士
gl  加利西亚语 西班牙加利西亚地区
gu  古吉拉特语 印度古吉拉特邦
ha  豪萨语 尼日利亚、尼日尔
he  希伯来语  以色列
hi  印地语 印度
hr  克罗地亚语 克罗地亚
hu  匈牙利语  匈牙利
id  印度尼西亚语  印度尼西亚
it  意大利语  意大利、瑞士
ja  日语  日本
kk  哈萨克语  哈萨克斯坦
ko  韩语  韩国、朝鲜
ku  库尔德语  伊拉克、土耳其、伊朗、叙利亚
ln  林加拉语  刚果（金）、刚果（布）
lt  立陶宛语  立陶宛
lv  拉脱维亚语 拉脱维亚
ml  马拉雅拉姆语  印度喀拉拉邦
mn  蒙古语 蒙古
mr  马拉地语  印度马哈拉施特拉邦
ms  马来语 马来西亚、文莱
ms_SG 马来语 新加坡
my  缅甸语 缅甸
nb  挪威博克马尔语 挪威
ne  尼泊尔语  尼泊尔
nl  荷兰语 荷兰、比利时
nl_BE 荷兰语 比利时
nn  挪威尼诺斯克语 挪威
pl  波兰语 波兰
ps  普什图语  阿富汗、巴基斯坦
pt  葡萄牙语  葡萄牙、巴西、非洲部分地区
pt_PT 葡萄牙语  葡萄牙
ro  Romanian  罗马尼亚、摩尔多瓦
ru  Russian 俄罗斯、东欧部分地区
ru_KZ Russian 哈萨克斯坦
ru_UA Russian 乌克兰
si  Sinhala 斯里兰卡
sk  Slovak  斯洛伐克
sl  Slovenian 斯洛文尼亚
sn  Shona 津巴布韦
sr  Serbian 塞尔维亚、波斯尼亚
sv  Swedish 瑞典、芬兰部分地区
sw  Swahili 东非地区（坦桑尼亚、肯尼亚等）
ta  Tamil 印度、斯里兰卡、新加坡、马来西亚
te  Telugu  印度
th  Thai  泰国
tl  Tagalog 菲律宾
tr  Turkish 土耳其、塞浦路斯
uk  Ukrainian 乌克兰
ur  Urdu  巴基斯坦、印度
ur_IN Urdu  印度
uz  Uzbek 乌兹别克斯坦
vi  Vietnamese  越南
zh  Chinese 全球华人
zh_CN Chinese 中国大陆
zh_HK Chinese 香港
zh_MO Chinese 澳门
zh_SG Chinese 新加坡
